S#,SNAME,SEX,BDATE,HEIGHT,DORM
2193381376,廖婷婷,男,2006-12-23,1.58,西3舍723
2207833334,宗兰英,男,2000-11-20,1.83,西5舍519
2205119022,谭娟,男,2001-06-16,1.76,西14舍309
2228311361,姚玉英,男,2002-02-19,1.4,东4舍709
2220369847,邓文,女,2001-03-26,1.62,东20舍114
2220904201,熊洋,男,2006-05-20,1.78,东16舍904
2211792096,段颖,女,2004-09-10,1.63,东16舍317
2229461282,刘建,女,2001-05-04,1.46,东16舍514
2197587575,李桂兰,男,1999-07-04,1.67,东15舍114
2221747832,党玉兰,男,2002-06-10,1.75,东17舍326
2221663060,陈坤,女,2005-05-03,1.48,东4舍826
2207201653,李建华,男,2005-10-02,1.66,西4舍413
2219157426,郭静,女,2005-01-06,1.53,东2舍323
2203453652,徐兰英,男,2006-07-04,1.98,西21舍530
2196807141,顾丽,男,2007-04-01,1.51,东19舍411
2219347356,邱颖,女,2002-08-26,1.55,东13舍108
2209071378,王斌,男,2007-02-17,1.62,东12舍130
2219785632,吴洁,男,2006-02-16,1.62,西21舍115
2193762916,丁荣,女,2005-01-25,1.56,东6舍303
2221220816,韩秀兰,男,2006-08-24,1.8,东20舍825
2226946391,张桂花,女,2002-03-11,1.62,西7舍506
2195223693,刘桂香,女,2001-01-15,1.5,东21舍905
2193055310,杨娟,女,2006-02-11,1.53,西12舍525
2199349475,余凤兰,女,2003-12-09,1.58,西19舍903
2211958525,郑洋,女,2002-04-18,1.7,东2舍229
2192438168,李秀华,男,2003-06-25,1.65,东21舍127
2195339311,丁冬梅,女,2002-10-13,1.83,东17舍921
2206594650,苏晨,男,2004-09-29,1.63,西7舍111
2192862278,王婷婷,女,2000-01-02,1.49,西15舍502
2203386577,刘晨,男,2002-06-04,1.66,西20舍312
2192388201,牛金凤,女,2003-10-10,1.59,东20舍108
2197771006,高凯,男,2005-12-19,1.57,东14舍724
2209488647,张伟,男,1999-11-08,1.57,西3舍829
2211018902,邓岩,女,2004-01-15,1.48,东2舍724
2221998872,曹军,女,2004-05-07,1.38,东3舍322
2209041873,李建军,男,2004-04-22,1.93,东6舍320
2219602115,余玉梅,女,2003-04-26,1.66,西18舍623
2213819620,彭柳,女,2001-05-25,1.47,东16舍314
2208316783,王建国,女,2004-05-21,1.54,东5舍405
2222268559,戴明,女,2006-12-20,1.48,西22舍714
2205119824,黄建华,男,2004-02-21,1.57,东10舍103
2194389678,张斌,男,2004-01-14,1.65,东8舍201
2220247302,李秀华,女,2002-02-11,1.43,西13舍123
2214939853,苏琳,男,2007-01-03,1.54,东22舍723
2211893462,熊健,女,2006-09-10,1.41,东21舍814
2195835912,吴帅,女,2003-01-05,1.6,东15舍126
2196138476,韦红霞,男,2002-09-08,1.83,东5舍612
2190058269,周兰英,女,2006-02-20,1.69,东9舍405
2222637110,李桂珍,男,2004-07-21,1.77,西5舍429
2226200025,李桂芳,男,2003-03-11,1.54,西21舍219
2213370452,张秀云,女,2000-04-09,1.46,东11舍311
2204813321,黎瑜,男,2000-04-22,1.81,西12舍705
2206362636,王玉珍,女,2003-10-27,1.54,西10舍602
2225499054,贺英,男,1999-07-05,1.71,东1舍423
2197801982,王建华,女,2006-12-22,1.56,西4舍404
2218556589,侯桂芳,男,2003-04-08,1.85,西12舍916
2224096726,梁宇,男,2002-08-25,1.65,西21舍215
2194556331,尹秀华,男,2003-01-27,1.67,东1舍521
2215831562,钟莉,女,2001-09-29,1.59,东2舍706
2218900062,严莉,男,2002-11-08,1.59,东4舍209
2226579335,刘颖,男,2006-10-22,1.85,西15舍820
2206133948,安浩,男,1999-11-17,1.69,西18舍303
2220876853,邓海燕,女,2002-04-14,1.78,西4舍807
2215939435,王建华,男,2000-05-13,1.68,西10舍113
2221721650,吴小红,男,2006-03-09,1.59,西17舍311
2192459430,蔡英,男,2006-01-02,1.73,西21舍708
2216515132,王秀荣,女,2002-06-12,1.47,西12舍614
2227735828,司刚,男,2001-12-23,1.81,东21舍928
2203992943,刘桂花,女,1999-08-06,1.51,东21舍220
2192044945,李玉华,男,2006-06-27,1.66,西21舍720
2223684214,金涛,女,2002-06-03,1.57,东22舍407
2210449818,沈浩,男,2003-06-24,1.91,西15舍930
2202959124,杨磊,男,2004-11-04,1.55,西11舍521
2209995703,张文,女,2000-01-15,1.59,西18舍721
2207693834,蒋敏,男,2005-11-02,1.65,西8舍908
2210278223,程秀兰,女,2005-12-20,1.53,东20舍712
2211119370,麦英,男,2001-03-24,1.61,西18舍802
2215302353,李秀珍,男,2005-09-04,1.69,东19舍212
2195173410,林静,男,2005-05-14,1.74,东13舍329
2198535068,许秀荣,女,2006-07-22,1.6,西14舍726
2205065037,罗建,女,2000-10-19,1.84,西11舍202
2196548420,徐洁,女,2000-04-14,1.68,东10舍228
2193948242,周凤英,男,2002-06-25,1.81,西12舍613
2212860454,房宁,男,2004-04-28,1.7,东13舍415
2190827141,童彬,男,2002-09-13,1.66,西13舍328
2211302306,盛建,男,2003-06-12,1.71,东22舍803
2201899522,王秀芳,男,2000-06-28,1.73,东22舍801
2205569733,陆莉,女,2001-04-25,1.64,东3舍102
2212958928,余敏,男,2001-05-01,1.82,东11舍420
2196094273,陈刚,男,2007-06-05,1.72,西19舍914
2220056862,徐娟,男,2003-06-18,1.5,东9舍506
2208639620,王燕,男,2004-01-02,1.61,西7舍411
2192262443,齐瑞,男,2006-09-01,1.65,西2舍320
2213366093,梁利,女,2001-06-21,1.41,西10舍802
2222932581,陈柳,男,2001-01-21,1.71,西20舍503
2219407277,吴丹丹,女,2005-11-12,1.5,东6舍226
2202018527,刘小红,女,1999-08-22,1.48,西10舍506
2222797653,陈金凤,男,2006-11-04,1.75,西22舍715
2210390813,吴磊,男,2001-07-10,1.75,东13舍413
2229330185,王伟,女,2004-05-25,1.59,西15舍813
2193277295,张淑兰,女,2002-04-06,1.44,西12舍611
2190973360,周淑兰,女,2005-10-08,1.6,西14舍418
2214253360,张彬,女,2002-06-13,1.63,东4舍906
2196279534,姚岩,男,2002-07-03,1.68,东15舍223
2214468135,刘凯,男,2005-05-03,1.67,西14舍312
2190498205,邓红,女,2003-06-21,1.46,东18舍630
2225391843,谢小红,女,2004-07-28,1.66,东10舍124
2211734110,王鹏,女,2005-08-08,1.4,西16舍204
2215246366,王琳,男,1999-10-19,1.58,西18舍623
2201330175,孙雪,女,2000-08-10,1.6,东8舍404
2206099751,何晶,女,2004-07-25,1.58,西3舍215
2206803546,李红梅,男,2005-04-28,1.71,西4舍828
2219197800,郭海燕,女,2004-07-28,1.55,东8舍304
2202404885,涂斌,女,2007-04-30,1.63,东20舍513
2208832846,麻桂芳,男,2002-06-30,1.65,西10舍911
2191743078,尹建军,女,2002-10-15,1.52,西1舍123
2226009813,罗秀荣,男,2006-12-27,1.83,东5舍309
2211535929,陶萍,男,2003-06-25,1.71,西21舍612
2198991551,邓杨,男,1999-06-16,1.74,西10舍412
2208791744,何秀兰,男,2004-05-16,1.7,西21舍926
2190404952,张丽娟,男,2004-08-22,1.64,西20舍123
2193207294,严佳,男,2003-02-12,1.66,东3舍929
2214309800,刘红,男,2004-12-11,1.59,东20舍630
2193080009,袁敏,女,2003-03-31,1.58,西5舍215
2223208890,李洋,男,2001-03-24,1.78,东3舍422
2217593751,秦桂珍,女,2005-09-09,1.52,西13舍401
2225490450,戴瑜,女,2001-01-16,1.61,西21舍310
2225541534,廖琴,男,2000-08-09,1.62,西9舍709
2228157174,郭兰英,女,2001-12-11,1.64,西20舍722
2195015851,田金凤,男,2002-01-14,1.79,西7舍621
2191677077,许坤,男,2003-11-18,1.75,西12舍209
2191174550,王艳,女,2003-08-01,1.67,西11舍111
2202866281,陈兰英,女,2000-12-30,1.52,西5舍103
2211304016,朱飞,女,2007-02-26,1.46,东8舍721
2194646954,王飞,女,2003-07-25,1.58,西21舍805
2198767721,周兰英,男,2003-12-07,1.76,东15舍112
2229681089,赵燕,女,2001-06-11,1.81,西12舍108
2218621918,赵冬梅,女,2005-07-05,1.61,西22舍720
2225648985,李静,男,2005-06-14,1.66,东11舍606
2211200672,丁琳,男,2000-09-22,1.65,西16舍823
2229774530,刘淑珍,男,2007-02-15,1.9,东6舍616
2216687902,陈建国,女,2002-04-17,1.62,西1舍421
2226729211,杨金凤,女,2003-01-10,1.57,西8舍804
2220118157,敖燕,女,1999-09-23,1.72,西7舍204
2223585841,杨鹏,男,2007-03-14,1.62,东12舍801
2222698065,雍利,女,2001-06-30,1.69,西22舍628
2211819647,李玉英,男,2004-09-16,1.67,西8舍510
